sale_key,order_id,product_key,customer_key,location_key,order_date,ship_mode,ship_date,sales
96,US-2018-109484,93,43,41,2018-11-06,Standard Class,2018-11-12,5.682
97,CA-2018-161018,94,44,30,2018-11-09,Second Class,2018-11-11,96.53
98,CA-2018-157833,95,45,35,2018-06-17,First Class,2018-06-20,51.312
99,CA-2017-149223,96,46,42,2017-09-06,Standard Class,2017-09-11,77.88
100,CA-2017-158568,97,47,27,2017-08-29,Standard Class,2017-09-02,64.624
101,CA-2017-158568,98,47,27,2017-08-29,Standard Class,2017-09-02,95.976
102,CA-2017-158568,99,47,27,2017-08-29,Standard Class,2017-09-02,1.788
103,CA-2017-129903,100,48,39,2017-12-01,Second Class,2017-12-04,23.92
104,US-2016-156867,101,49,43,2016-11-13,Standard Class,2016-11-17,238.896
105,US-2016-156867,102,49,43,2016-11-13,Standard Class,2016-11-17,102.36
106,US-2016-156867,103,49,43,2016-11-13,Standard Class,2016-11-17,36.882
107,CA-2018-119004,104,50,44,2018-11-23,Standard Class,2018-11-28,74.112
108,CA-2018-119004,105,50,44,2018-11-23,Standard Class,2018-11-28,27.992
109,CA-2018-119004,106,50,44,2018-11-23,Standard Class,2018-11-28,3.304
110,CA-2016-129476,107,51,45,2016-10-15,Standard Class,2016-10-20,339.96
111,CA-2018-146780,108,52,46,2018-12-25,Standard Class,2018-12-30,41.96
112,CA-2017-128867,109,53,47,2017-11-03,Standard Class,2017-11-10,75.96
113,CA-2017-128867,110,53,47,2017-11-03,Standard Class,2017-11-10,27.24
114,CA-2015-115259,111,54,48,2015-08-25,Second Class,2015-08-27,40.096
115,CA-2015-115259,112,54,48,2015-08-25,Second Class,2015-08-27,4.72
116,CA-2015-115259,113,54,48,2015-08-25,Second Class,2015-08-27,23.976
117,CA-2015-115259,114,54,48,2015-08-25,Second Class,2015-08-27,130.464
118,CA-2016-110457,115,55,6,2016-03-02,Standard Class,2016-03-06,787.53
119,US-2016-136476,116,56,49,2016-04-05,Standard Class,2016-04-10,157.794
120,CA-2017-103730,117,57,50,2017-06-12,First Class,2017-06-15,47.04
121,CA-2017-103730,9,57,50,2017-06-12,First Class,2017-06-15,30.84
122,CA-2017-103730,118,57,50,2017-06-12,First Class,2017-06-15,226.56
123,CA-2017-103730,119,57,50,2017-06-12,First Class,2017-06-15,115.02
124,CA-2017-103730,120,57,50,2017-06-12,First Class,2017-06-15,68.04
125,US-2015-152030,121,58,17,2015-12-26,Second Class,2015-12-28,600.558
126,US-2015-134614,122,59,51,2015-09-20,Standard Class,2015-09-25,617.7
127,US-2018-107272,123,60,52,2018-11-05,Standard Class,2018-11-12,2.388
128,US-2018-107272,124,60,52,2018-11-05,Standard Class,2018-11-12,243.992
129,US-2017-125969,65,61,26,2017-11-06,Second Class,2017-11-10,81.424
130,US-2017-125969,125,61,26,2017-11-06,Second Class,2017-11-10,238.56
131,US-2018-164147,126,62,48,2018-02-02,First Class,2018-02-05,59.97
132,US-2018-164147,127,62,48,2018-02-02,First Class,2018-02-05,78.304
133,US-2018-164147,128,62,48,2018-02-02,First Class,2018-02-05,21.456
134,CA-2017-145583,129,63,53,2017-10-13,Standard Class,2017-10-19,20.04
135,CA-2017-145583,130,63,53,2017-10-13,Standard Class,2017-10-19,35.44
136,CA-2017-145583,131,63,53,2017-10-13,Standard Class,2017-10-19,11.52
137,CA-2017-145583,132,63,53,2017-10-13,Standard Class,2017-10-19,4.02
138,CA-2017-145583,133,63,53,2017-10-13,Standard Class,2017-10-19,76.176
139,CA-2017-145583,134,63,53,2017-10-13,Standard Class,2017-10-19,65.88
140,CA-2017-145583,51,63,53,2017-10-13,Standard Class,2017-10-19,43.12
141,CA-2017-110366,29,64,12,2017-09-05,Second Class,2017-09-07,82.8
142,CA-2018-106180,135,65,35,2018-09-18,Standard Class,2018-09-23,8.82
143,CA-2018-106180,136,65,35,2018-09-18,Standard Class,2018-09-23,10.86
144,CA-2018-106180,137,65,35,2018-09-18,Standard Class,2018-09-23,143.7
145,CA-2018-155376,138,66,54,2018-12-22,Standard Class,2018-12-27,839.43
146,CA-2016-110744,83,67,55,2016-09-07,Standard Class,2016-09-12,671.93
147,CA-2015-110072,139,68,56,2015-10-22,Standard Class,2015-10-28,93.888
148,CA-2017-114489,140,69,57,2017-12-05,Standard Class,2017-12-09,384.45
149,CA-2017-114489,141,69,57,2017-12-05,Standard Class,2017-12-09,149.97
150,CA-2017-114489,2,69,57,2017-12-05,Standard Class,2017-12-09,1951.84
151,CA-2017-114489,142,69,57,2017-12-05,Standard Class,2017-12-09,171.55
152,CA-2017-158834,143,70,58,2017-03-13,First Class,2017-03-16,157.92
153,CA-2017-158834,144,70,58,2017-03-13,First Class,2017-03-16,203.184
154,CA-2016-124919,145,71,59,2016-05-31,First Class,2016-06-02,58.38
155,CA-2016-124919,146,71,59,2016-05-31,First Class,2016-06-02,105.52
156,CA-2016-124919,147,71,59,2016-05-31,First Class,2016-06-02,80.88
157,CA-2016-118948,148,72,60,2016-05-28,Standard Class,2016-06-03,6.63
158,CA-2015-104269,121,73,61,2015-03-01,Second Class,2015-03-06,457.568
159,CA-2017-114104,149,74,62,2017-11-20,Standard Class,2017-11-24,14.62
160,CA-2017-114104,150,74,62,2017-11-20,Standard Class,2017-11-24,944.93
161,CA-2017-162733,151,75,63,2017-05-11,First Class,2017-05-12,5.98
162,CA-2016-119697,152,76,64,2016-12-28,Second Class,2016-12-31,54.384
163,CA-2017-154508,153,77,65,2017-11-16,Standard Class,2017-11-20,28.4
164,CA-2017-113817,154,78,61,2017-11-07,Standard Class,2017-11-11,27.68
165,CA-2015-139892,155,79,66,2015-09-08,Standard Class,2015-09-12,9.936
166,CA-2015-139892,156,79,66,2015-09-08,Standard Class,2015-09-12,8159.952
167,CA-2015-139892,157,79,66,2015-09-08,Standard Class,2015-09-12,275.928
168,CA-2015-139892,158,79,66,2015-09-08,Standard Class,2015-09-12,1740.06
169,CA-2015-139892,159,79,66,2015-09-08,Standard Class,2015-09-12,32.064
170,CA-2015-139892,160,79,66,2015-09-08,Standard Class,2015-09-12,177.98
171,CA-2015-139892,161,79,66,2015-09-08,Standard Class,2015-09-12,143.976
172,CA-2015-118962,162,80,26,2015-08-05,Standard Class,2015-08-09,20.94
173,CA-2015-118962,163,80,26,2015-08-05,Standard Class,2015-08-09,110.96
174,CA-2015-118962,164,80,26,2015-08-05,Standard Class,2015-08-09,340.144
175,US-2015-100853,165,81,37,2015-09-14,Standard Class,2015-09-19,52.448
176,US-2015-100853,166,81,37,2015-09-14,Standard Class,2015-09-19,20.16
177,US-2018-152366,167,82,67,2018-04-21,Second Class,2018-04-25,97.264
178,US-2016-101511,168,33,56,2016-11-21,Second Class,2016-11-23,396.802
179,US-2016-101511,169,33,56,2016-11-21,Second Class,2016-11-23,15.88
180,CA-2016-137225,170,83,30,2016-12-15,Standard Class,2016-12-19,3.28
181,CA-2015-166191,171,84,68,2015-12-05,Second Class,2015-12-09,24.816
182,CA-2015-166191,172,84,68,2015-12-05,Second Class,2015-12-09,408.744
183,CA-2015-158274,173,85,69,2015-11-19,Second Class,2015-11-24,503.96
184,CA-2015-158274,174,85,69,2015-11-19,Second Class,2015-11-24,149.95
185,CA-2015-158274,175,85,69,2015-11-19,Second Class,2015-11-24,29.0
186,CA-2017-105018,176,86,70,2017-11-28,Standard Class,2017-12-02,7.16
187,CA-2015-123260,177,87,4,2015-08-26,Standard Class,2015-08-30,176.8
188,CA-2017-157000,178,88,71,2017-07-16,Standard Class,2017-07-22,37.224
189,CA-2017-157000,145,88,71,2017-07-16,Standard Class,2017-07-22,20.016
190,CA-2016-102281,179,89,46,2016-10-12,First Class,2016-10-14,899.136
191,CA-2016-102281,180,89,46,2016-10-12,First Class,2016-10-14,71.76
192,CA-2016-102281,181,89,46,2016-10-12,First Class,2016-10-14,51.84
193,CA-2016-102281,38,89,46,2016-10-12,First Class,2016-10-14,626.352
194,CA-2016-102281,182,89,46,2016-10-12,First Class,2016-10-14,19.9
195,CA-2016-131457,30,90,72,2016-10-31,Standard Class,2016-11-06,14.28
196,CA-2015-140004,183,91,73,2015-03-21,Standard Class,2015-03-25,7.408
197,CA-2015-140004,184,91,73,2015-03-21,Standard Class,2015-03-25,6.048
198,CA-2018-107720,185,92,74,2018-11-06,Standard Class,2018-11-13,46.26
199,US-2018-124303,186,93,75,2018-07-06,Standard Class,2018-07-13,2.946
200,US-2018-124303,187,93,75,2018-07-06,Standard Class,2018-07-13,16.056
201,CA-2018-105074,188,94,76,2018-06-24,Standard Class,2018-06-29,21.744
202,CA-2015-133690,189,95,77,2015-08-03,First Class,2015-08-05,218.75
203,CA-2015-133690,190,95,77,2015-08-03,First Class,2015-08-05,2.6
204,US-2018-116701,191,96,78,2018-12-17,Second Class,2018-12-21,66.284
205,CA-2018-126382,192,97,79,2018-06-03,Standard Class,2018-06-07,35.168
206,CA-2018-108329,193,98,80,2018-12-09,Standard Class,2018-12-14,444.768
207,CA-2018-135860,194,99,81,2018-12-01,Standard Class,2018-12-07,83.92
208,CA-2018-135860,195,99,81,2018-12-01,Standard Class,2018-12-07,131.98
209,CA-2018-135860,123,99,81,2018-12-01,Standard Class,2018-12-07,15.92
210,CA-2018-135860,196,99,81,2018-12-01,Standard Class,2018-12-07,52.29
211,CA-2018-135860,197,99,81,2018-12-01,Standard Class,2018-12-07,91.99
212,CA-2016-101007,198,100,78,2016-02-09,Second Class,2016-02-13,20.8
213,CA-2016-146262,199,101,82,2016-01-02,Standard Class,2016-01-09,23.68
214,CA-2016-146262,200,101,82,2016-01-02,Standard Class,2016-01-09,452.45
215,CA-2016-146262,105,101,82,2016-01-02,Standard Class,2016-01-09,62.982
216,CA-2016-146262,201,101,82,2016-01-02,Standard Class,2016-01-09,1188.0
217,CA-2016-146262,202,101,82,2016-01-02,Standard Class,2016-01-09,89.584
218,CA-2017-130162,178,102,4,2017-10-28,Standard Class,2017-11-01,93.06
219,CA-2017-130162,203,102,4,2017-10-28,Standard Class,2017-11-01,302.376
220,CA-2016-169397,204,103,83,2016-12-24,First Class,2016-12-27,5.584
221,CA-2016-169397,205,103,83,2016-12-24,First Class,2016-12-27,22.704
222,CA-2016-169397,92,103,83,2016-12-24,First Class,2016-12-27,19.776
223,CA-2016-169397,206,103,83,2016-12-24,First Class,2016-12-27,72.704
224,CA-2016-169397,207,103,83,2016-12-24,First Class,2016-12-27,479.988
225,CA-2016-169397,208,103,83,2016-12-24,First Class,2016-12-27,27.168
226,CA-2016-163055,209,104,84,2016-08-09,Standard Class,2016-08-16,2.2
227,CA-2016-163055,210,104,84,2016-08-09,Standard Class,2016-08-16,622.45
228,CA-2016-163055,211,104,84,2016-08-09,Standard Class,2016-08-16,21.98
229,US-2016-145436,212,105,85,2016-02-28,Standard Class,2016-03-04,161.568
230,US-2016-145436,213,105,85,2016-02-28,Standard Class,2016-03-04,389.696
231,US-2015-156216,214,106,44,2015-09-13,Standard Class,2015-09-17,18.648
232,US-2018-100930,215,38,86,2018-04-07,Standard Class,2018-04-12,233.86
233,US-2018-100930,216,38,86,2018-04-07,Standard Class,2018-04-12,620.6145
234,US-2018-100930,214,38,86,2018-04-07,Standard Class,2018-04-12,5.328
235,US-2018-100930,217,38,86,2018-04-07,Standard Class,2018-04-12,258.072
236,US-2018-100930,218,38,86,2018-04-07,Standard Class,2018-04-12,617.976
237,CA-2018-160514,219,107,87,2018-11-12,Standard Class,2018-11-16,10.56
238,CA-2017-157749,220,108,27,2017-06-04,Second Class,2017-06-09,25.92
239,CA-2017-157749,221,108,27,2017-06-04,Second Class,2017-06-09,419.68
240,CA-2017-157749,222,108,27,2017-06-04,Second Class,2017-06-09,11.688
241,CA-2017-157749,223,108,27,2017-06-04,Second Class,2017-06-09,31.984
242,CA-2017-157749,224,108,27,2017-06-04,Second Class,2017-06-09,177.225
243,CA-2017-157749,225,108,27,2017-06-04,Second Class,2017-06-09,4.044
244,CA-2017-157749,183,108,27,2017-06-04,Second Class,2017-06-09,7.408
245,CA-2015-131926,121,109,88,2015-06-01,Second Class,2015-06-06,2001.86
246,CA-2015-131926,226,109,88,2015-06-01,Second Class,2015-06-06,166.72
247,CA-2015-131926,227,109,88,2015-06-01,Second Class,2015-06-06,47.88
248,CA-2015-131926,228,109,88,2015-06-01,Second Class,2015-06-06,1503.25
249,CA-2015-131926,181,109,88,2015-06-01,Second Class,2015-06-06,25.92
250,CA-2017-154739,229,110,10,2017-12-10,Second Class,2017-12-15,321.568
251,CA-2017-145625,230,111,89,2017-09-11,Standard Class,2017-09-17,7.61
252,CA-2017-145625,218,111,89,2017-09-11,Standard Class,2017-09-17,3347.37
253,CA-2017-146941,231,112,24,2017-12-10,First Class,2017-12-13,80.58
254,CA-2017-146941,232,112,24,2017-12-10,First Class,2017-12-13,361.92
255,US-2016-159982,225,113,37,2016-11-28,Standard Class,2016-12-04,12.132
256,US-2016-159982,233,113,37,2016-11-28,Standard Class,2016-12-04,82.368
257,US-2016-159982,147,113,37,2016-11-28,Standard Class,2016-12-04,53.92
258,US-2016-159982,234,113,37,2016-11-28,Standard Class,2016-12-04,647.904
259,CA-2018-163139,235,114,30,2018-12-01,Second Class,2018-12-03,20.37
260,CA-2018-163139,236,114,30,2018-12-01,Second Class,2018-12-03,221.55
261,CA-2018-163139,237,114,30,2018-12-01,Second Class,2018-12-03,17.52
262,US-2018-155299,238,115,90,2018-06-08,Standard Class,2018-06-12,1.624
263,US-2015-106992,156,116,67,2015-09-19,Second Class,2015-09-21,3059.982
264,US-2015-106992,239,116,67,2015-09-19,Second Class,2015-09-21,2519.958
265,CA-2017-125318,240,117,27,2017-06-06,Standard Class,2017-06-13,328.224
266,CA-2016-155040,241,118,91,2016-11-10,Standard Class,2016-11-15,79.9
267,CA-2018-136826,242,119,92,2018-06-16,Standard Class,2018-06-20,14.016
268,CA-2017-111010,243,39,93,2017-01-22,Standard Class,2017-01-28,7.56
269,US-2018-145366,244,120,94,2018-12-09,Standard Class,2018-12-13,37.208
270,US-2018-145366,245,120,94,2018-12-09,Standard Class,2018-12-13,57.576
271,CA-2018-163979,246,121,95,2018-12-28,Second Class,2019-01-02,725.84
272,CA-2016-155334,247,67,10,2016-07-30,First Class,2016-07-31,209.93
273,CA-2016-155334,248,67,10,2016-07-30,First Class,2016-07-31,5.28
274,CA-2016-155334,249,67,10,2016-07-30,First Class,2016-07-31,10.92
275,CA-2018-118136,250,122,96,2018-09-16,First Class,2018-09-17,8.82
276,CA-2018-118136,251,122,96,2018-09-16,First Class,2018-09-17,5.98
277,CA-2018-132976,252,123,12,2018-10-13,Standard Class,2018-10-17,11.648
278,CA-2018-132976,253,123,12,2018-10-13,Standard Class,2018-10-17,18.176
279,CA-2018-132976,254,123,12,2018-10-13,Standard Class,2018-10-17,59.712
280,CA-2018-132976,255,123,12,2018-10-13,Standard Class,2018-10-17,24.84
281,US-2016-161991,256,57,33,2016-09-26,Second Class,2016-09-28,2.08
282,US-2016-161991,257,57,33,2016-09-26,Second Class,2016-09-28,1114.4
283,CA-2016-130890,258,124,26,2016-11-02,Standard Class,2016-11-06,1038.84
284,CA-2016-130883,259,15,41,2016-09-26,Standard Class,2016-10-02,141.76
285,CA-2016-130883,260,15,41,2016-09-26,Standard Class,2016-10-02,239.8
286,CA-2016-130883,261,15,41,2016-09-26,Standard Class,2016-10-02,31.104
287,CA-2017-112697,262,125,97,2017-12-18,Second Class,2017-12-20,254.058
288,CA-2017-112697,167,125,97,2017-12-18,Second Class,2017-12-20,194.528
289,CA-2017-112697,263,125,97,2017-12-18,Second Class,2017-12-20,961.48
290,CA-2017-110772,264,126,48,2017-11-20,Second Class,2017-11-24,19.096
291,CA-2017-110772,265,126,48,2017-11-20,Second Class,2017-11-24,18.496
292,CA-2017-110772,266,126,48,2017-11-20,Second Class,2017-11-24,255.984
293,CA-2017-110772,267,126,48,2017-11-20,Second Class,2017-11-24,86.97
294,CA-2015-111451,268,127,98,2015-12-26,First Class,2015-12-28,300.416
295,CA-2015-111451,269,127,98,2015-12-26,First Class,2015-12-28,230.352
296,CA-2015-111451,270,127,98,2015-12-26,First Class,2015-12-28,218.352
297,CA-2015-111451,271,127,98,2015-12-26,First Class,2015-12-28,78.6
298,CA-2015-111451,272,127,98,2015-12-26,First Class,2015-12-28,27.552
299,CA-2017-142545,273,64,99,2017-10-28,Standard Class,2017-11-03,32.4
300,CA-2017-142545,274,64,99,2017-10-28,Standard Class,2017-11-03,1082.48
301,CA-2017-142545,275,64,99,2017-10-28,Standard Class,2017-11-03,56.91
302,CA-2017-142545,276,64,99,2017-10-28,Standard Class,2017-11-03,77.6
303,CA-2017-142545,277,64,99,2017-10-28,Standard Class,2017-11-03,14.28
304,US-2018-152380,278,102,37,2018-11-19,Standard Class,2018-11-23,219.075
305,CA-2016-144253,279,128,24,2016-05-04,Second Class,2016-05-09,26.8
306,CA-2015-130960,280,34,100,2015-12-30,Standard Class,2016-01-04,9.84
307,CA-2015-111003,281,129,101,2015-06-01,Standard Class,2015-06-06,45.48
308,CA-2015-111003,282,129,101,2015-06-01,Standard Class,2015-06-06,289.2
309,CA-2018-126774,283,130,102,2018-04-15,First Class,2018-04-17,4.89
310,CA-2017-142902,284,131,103,2017-09-12,Second Class,2017-09-14,15.136
311,CA-2017-142902,285,131,103,2017-09-12,Second Class,2017-09-14,466.768
312,CA-2017-142902,286,131,103,2017-09-12,Second Class,2017-09-14,15.232
313,CA-2017-142902,287,131,103,2017-09-12,Second Class,2017-09-14,6.264
314,CA-2015-120887,288,132,104,2015-09-27,Standard Class,2015-10-03,87.54
315,CA-2015-167850,289,133,105,2015-08-09,Standard Class,2015-08-16,178.384
316,CA-2015-167850,290,133,105,2015-08-09,Standard Class,2015-08-16,15.552
317,CA-2015-164259,291,134,106,2015-12-28,First Class,2015-12-30,99.136
318,CA-2015-164973,292,135,24,2015-11-04,Standard Class,2015-11-09,135.882
319,CA-2015-164973,293,135,24,2015-11-04,Standard Class,2015-11-09,3991.98
320,CA-2015-164973,41,135,24,2015-11-04,Standard Class,2015-11-09,275.94
321,CA-2015-164973,294,135,24,2015-11-04,Standard Class,2015-11-09,360.0
322,CA-2015-164973,124,135,24,2015-11-04,Standard Class,2015-11-09,43.57
323,CA-2015-156601,295,136,107,2015-09-19,Standard Class,2015-09-24,7.16
324,CA-2017-162138,271,137,108,2017-04-23,Standard Class,2017-04-27,251.52
325,CA-2017-162138,296,137,108,2017-04-23,Standard Class,2017-04-27,99.99
326,CA-2018-153339,297,138,109,2018-11-03,Second Class,2018-11-05,15.992
327,US-2017-141544,298,139,106,2017-08-30,First Class,2017-09-01,290.898
328,US-2017-141544,299,139,106,2017-08-30,First Class,2017-09-01,54.224
329,US-2017-141544,300,139,106,2017-08-30,First Class,2017-09-01,786.744
330,US-2017-141544,301,139,106,2017-08-30,First Class,2017-09-01,100.24
331,US-2017-141544,302,139,106,2017-08-30,First Class,2017-09-01,37.764
332,US-2017-150147,303,140,64,2017-04-25,Second Class,2017-04-29,82.8
333,US-2017-150147,304,140,64,2017-04-25,Second Class,2017-04-29,20.724
334,US-2017-150147,305,140,64,2017-04-25,Second Class,2017-04-29,4.896
335,CA-2016-137946,306,141,63,2016-09-01,Second Class,2016-09-04,4.752
336,CA-2016-137946,307,141,63,2016-09-01,Second Class,2016-09-04,959.984
337,CA-2016-137946,308,141,63,2016-09-01,Second Class,2016-09-04,14.368
338,CA-2015-129924,309,142,35,2015-07-12,Standard Class,2015-07-17,7.712
339,CA-2015-129924,310,142,35,2015-07-12,Standard Class,2015-07-17,698.352
340,CA-2016-128167,311,108,110,2016-06-22,Second Class,2016-06-26,4.96
341,CA-2015-122336,312,64,12,2015-04-13,Second Class,2015-04-17,17.856
342,CA-2015-122336,14,64,12,2015-04-13,Second Class,2015-04-17,509.97
343,CA-2015-122336,128,64,12,2015-04-13,Second Class,2015-04-17,30.992
344,CA-2015-122336,313,64,12,2015-04-13,Second Class,2015-04-17,71.928
345,US-2016-120712,18,80,111,2016-12-20,Standard Class,2016-12-24,88.8
346,CA-2018-169901,126,143,35,2018-06-15,Standard Class,2018-06-19,47.976
